,,,
SDS,0.194391409,26,19
SCL-90,0.190971895,12,13
CES-D,0.252088296,19,20
CDI,0.203300915,32,27
DSRSC,0.204272754,20,18
BDI-I,0.232933446,20,20
MSSMHS,0.160955945,7,5
BDI-II,0.245795347,23,21
PHQ-9,0.169508793,19,9
DASS-21,0.184610817,7,7
(CBCL)ÄÐÉú,0.199530198,22,15
(CBCL)Å®Éú,0.163168466,24,18
MFQ-C,0.253349658,26,28
CSSDS,0.199192943,18,19
CES-D-C,0.235254136,16,19
ADI,0.220930252,35,31
BSRS-5,0.182990382,7,7
CES-D-13,0.209199836,10,13
CEPS,0.10329924,4,4
DSI,0.206395044,29,20
HADS,0.153977257,4,7
HAMD,0.1856667,32,24
Ji_2007,0.085844557,2,1
KADS-11,0.17221004,20,11
 sakuma_2020,0.157738138,7,4
SMFQ,0.24192431,13,13
UPI,0.223833299,15,11
CCSMHS,0.122379341,9,8
,,,
,,,
